market_ticker,security_ticker,event_date
DXY_rc,CHF_USD_rc,30/01/2002
DXY_rc,CHF_USD_rc,19/03/2002
DXY_rc,CHF_USD_rc,07/05/2002
DXY_rc,CHF_USD_rc,26/06/2002
DXY_rc,CHF_USD_rc,13/08/2002
DXY_rc,CHF_USD_rc,24/09/2002
DXY_rc,CHF_USD_rc,06/11/2002
DXY_rc,CHF_USD_rc,10/12/2002
DXY_rc,CHF_USD_rc,29/01/2003
DXY_rc,CHF_USD_rc,18/03/2003
DXY_rc,CHF_USD_rc,25/03/2003
DXY_rc,CHF_USD_rc,01/04/2003
DXY_rc,CHF_USD_rc,08/04/2003
DXY_rc,CHF_USD_rc,16/04/2003
DXY_rc,CHF_USD_rc,06/05/2003
DXY_rc,CHF_USD_rc,25/06/2003
DXY_rc,CHF_USD_rc,12/08/2003
DXY_rc,CHF_USD_rc,15/09/2003
DXY_rc,CHF_USD_rc,16/09/2003
DXY_rc,CHF_USD_rc,28/10/2003
DXY_rc,CHF_USD_rc,09/12/2003
DXY_rc,CHF_USD_rc,28/01/2004
DXY_rc,CHF_USD_rc,16/03/2004
DXY_rc,CHF_USD_rc,04/05/2004
DXY_rc,CHF_USD_rc,30/06/2004
DXY_rc,CHF_USD_rc,10/08/2004
DXY_rc,CHF_USD_rc,21/09/2004
DXY_rc,CHF_USD_rc,10/11/2004
DXY_rc,CHF_USD_rc,14/12/2004
DXY_rc,CHF_USD_rc,02/02/2005
DXY_rc,CHF_USD_rc,22/03/2005
DXY_rc,CHF_USD_rc,03/05/2005
DXY_rc,CHF_USD_rc,30/06/2005
DXY_rc,CHF_USD_rc,09/08/2005
DXY_rc,CHF_USD_rc,20/09/2005
DXY_rc,CHF_USD_rc,01/11/2005
DXY_rc,CHF_USD_rc,13/12/2005
DXY_rc,CHF_USD_rc,31/01/2006
DXY_rc,CHF_USD_rc,28/03/2006
DXY_rc,CHF_USD_rc,10/05/2006
DXY_rc,CHF_USD_rc,29/06/2006
DXY_rc,CHF_USD_rc,08/08/2006
DXY_rc,CHF_USD_rc,20/09/2006
DXY_rc,CHF_USD_rc,25/10/2006
DXY_rc,CHF_USD_rc,12/12/2006
DXY_rc,CHF_USD_rc,31/01/2007
DXY_rc,CHF_USD_rc,21/03/2007
DXY_rc,CHF_USD_rc,09/05/2007
DXY_rc,CHF_USD_rc,28/06/2007
DXY_rc,CHF_USD_rc,07/08/2007
DXY_rc,CHF_USD_rc,10/08/2007
DXY_rc,CHF_USD_rc,16/08/2007
DXY_rc,CHF_USD_rc,18/09/2007
DXY_rc,CHF_USD_rc,31/10/2007
DXY_rc,CHF_USD_rc,06/12/2007
DXY_rc,CHF_USD_rc,11/12/2007
DXY_rc,CHF_USD_rc,09/01/2008
DXY_rc,CHF_USD_rc,21/01/2008
DXY_rc,CHF_USD_rc,30/01/2008
DXY_rc,CHF_USD_rc,10/03/2008
DXY_rc,CHF_USD_rc,18/03/2008
DXY_rc,CHF_USD_rc,30/04/2008
DXY_rc,CHF_USD_rc,25/06/2008
DXY_rc,CHF_USD_rc,24/07/2008
DXY_rc,CHF_USD_rc,05/08/2008
DXY_rc,CHF_USD_rc,16/09/2008
DXY_rc,CHF_USD_rc,29/09/2008
DXY_rc,CHF_USD_rc,07/10/2008
DXY_rc,CHF_USD_rc,29/10/2008
DXY_rc,CHF_USD_rc,16/12/2008
DXY_rc,CHF_USD_rc,16/01/2009
DXY_rc,CHF_USD_rc,28/01/2009
DXY_rc,CHF_USD_rc,07/02/2009
DXY_rc,CHF_USD_rc,18/03/2009
DXY_rc,CHF_USD_rc,29/04/2009
DXY_rc,CHF_USD_rc,03/06/2009
DXY_rc,CHF_USD_rc,24/06/2009
DXY_rc,CHF_USD_rc,12/08/2009
DXY_rc,CHF_USD_rc,23/09/2009
DXY_rc,CHF_USD_rc,04/11/2009
DXY_rc,CHF_USD_rc,16/12/2009
DXY_rc,CHF_USD_rc,27/01/2010
DXY_rc,CHF_USD_rc,16/03/2010
DXY_rc,CHF_USD_rc,28/04/2010
DXY_rc,CHF_USD_rc,09/05/2010
DXY_rc,CHF_USD_rc,23/06/2010
DXY_rc,CHF_USD_rc,10/08/2010
DXY_rc,CHF_USD_rc,21/09/2010
DXY_rc,CHF_USD_rc,15/10/2010
DXY_rc,CHF_USD_rc,03/11/2010
DXY_rc,CHF_USD_rc,14/12/2010
DXY_rc,CHF_USD_rc,26/01/2011
DXY_rc,CHF_USD_rc,15/03/2011
DXY_rc,CHF_USD_rc,27/04/2011
DXY_rc,CHF_USD_rc,22/06/2011
DXY_rc,CHF_USD_rc,01/08/2011
DXY_rc,CHF_USD_rc,09/08/2011
DXY_rc,CHF_USD_rc,21/09/2011
DXY_rc,CHF_USD_rc,02/11/2011
DXY_rc,CHF_USD_rc,28/11/2011
DXY_rc,CHF_USD_rc,13/12/2011
DXY_rc,CHF_USD_rc,25/01/2012
DXY_rc,CHF_USD_rc,13/03/2012
DXY_rc,CHF_USD_rc,25/04/2012
DXY_rc,CHF_USD_rc,20/06/2012
DXY_rc,CHF_USD_rc,01/08/2012
DXY_rc,CHF_USD_rc,13/09/2012
DXY_rc,CHF_USD_rc,24/10/2012
DXY_rc,CHF_USD_rc,12/12/2012
DXY_rc,CHF_USD_rc,30/01/2013
DXY_rc,CHF_USD_rc,20/03/2013
DXY_rc,CHF_USD_rc,01/05/2013
DXY_rc,CHF_USD_rc,19/06/2013
DXY_rc,CHF_USD_rc,31/07/2013
DXY_rc,CHF_USD_rc,18/09/2013
DXY_rc,CHF_USD_rc,16/10/2013
DXY_rc,CHF_USD_rc,30/10/2013
DXY_rc,CHF_USD_rc,18/12/2013
DXY_rc,CHF_USD_rc,29/01/2014
DXY_rc,CHF_USD_rc,04/03/2014
DXY_rc,CHF_USD_rc,19/03/2014
DXY_rc,CHF_USD_rc,30/04/2014
DXY_rc,CHF_USD_rc,18/06/2014
DXY_rc,CHF_USD_rc,30/07/2014
DXY_rc,CHF_USD_rc,17/09/2014
DXY_rc,CHF_USD_rc,29/10/2014
DXY_rc,CHF_USD_rc,17/12/2014
DXY_rc,CHF_USD_rc,28/01/2015
DXY_rc,CHF_USD_rc,18/03/2015
DXY_rc,CHF_USD_rc,29/04/2015
DXY_rc,CHF_USD_rc,17/06/2015
DXY_rc,CHF_USD_rc,29/07/2015
DXY_rc,CHF_USD_rc,17/09/2015
DXY_rc,CHF_USD_rc,28/10/2015
DXY_rc,CHF_USD_rc,16/12/2015
DXY_rc,CHF_USD_rc,27/01/2016
DXY_rc,CHF_USD_rc,16/03/2016
DXY_rc,CHF_USD_rc,27/04/2016
DXY_rc,CHF_USD_rc,15/06/2016
DXY_rc,CHF_USD_rc,27/07/2016
DXY_rc,CHF_USD_rc,21/09/2016
DXY_rc,CHF_USD_rc,02/11/2016
DXY_rc,CHF_USD_rc,14/12/2016
DXY_rc,CHF_USD_rc,01/02/2017
DXY_rc,CHF_USD_rc,15/03/2017
DXY_rc,CHF_USD_rc,03/05/2017
DXY_rc,CHF_USD_rc,14/06/2017
DXY_rc,CHF_USD_rc,26/07/2017
DXY_rc,CHF_USD_rc,20/09/2017
DXY_rc,CHF_USD_rc,01/11/2017
DXY_rc,CHF_USD_rc,13/12/2017
DXY_rc,CHF_USD_rc,31/01/2018
DXY_rc,CHF_USD_rc,21/03/2018
DXY_rc,CHF_USD_rc,02/05/2018
DXY_rc,CHF_USD_rc,13/06/2018
DXY_rc,CHF_USD_rc,01/08/2018
DXY_rc,CHF_USD_rc,26/09/2018
DXY_rc,CHF_USD_rc,08/11/2018
DXY_rc,CHF_USD_rc,19/12/2018
DXY_rc,CHF_USD_rc,30/01/2019
DXY_rc,CHF_USD_rc,20/03/2019
DXY_rc,CHF_USD_rc,01/05/2019
DXY_rc,CHF_USD_rc,19/06/2019
DXY_rc,CHF_USD_rc,31/07/2019
DXY_rc,CHF_USD_rc,18/09/2019
DXY_rc,CHF_USD_rc,30/10/2019
DXY_rc,CHF_USD_rc,11/12/2019
DXY_rc,CHF_USD_rc,29/01/2020
DXY_rc,CHF_USD_rc,03/03/2020
DXY_rc,CHF_USD_rc,15/03/2020
DXY_rc,CHF_USD_rc,19/03/2020
DXY_rc,CHF_USD_rc,23/03/2020
DXY_rc,CHF_USD_rc,31/03/2020
DXY_rc,CHF_USD_rc,29/04/2020
DXY_rc,CHF_USD_rc,10/06/2020
DXY_rc,CHF_USD_rc,29/07/2020
DXY_rc,CHF_USD_rc,27/08/2020
DXY_rc,CHF_USD_rc,16/09/2020
DXY_rc,CHF_USD_rc,05/11/2020
DXY_rc,CHF_USD_rc,16/12/2020
DXY_rc,CHF_USD_rc,27/01/2021
DXY_rc,CHF_USD_rc,17/03/2021
DXY_rc,CHF_USD_rc,28/04/2021
DXY_rc,CHF_USD_rc,16/06/2021
DXY_rc,CHF_USD_rc,28/07/2021
DXY_rc,CHF_USD_rc,22/09/2021
DXY_rc,CHF_USD_rc,03/11/2021
DXY_rc,CHF_USD_rc,15/12/2021
DXY_rc,CHF_USD_rc,26/01/2022
DXY_rc,CHF_USD_rc,16/03/2022
